term,coefficient,se_cluster_scenario,ci95_low,ci95_high,odds_ratio,or_ci95_low,or_ci95_high,p_value,model
Intercept,1.0050385031451723,0.7682846399738251,-0.5007993912035249,2.5108763974938695,2.7320124618732917,0.6060459981814826,12.315718797298079,0.1908193689765867,optimal_selected_logit
commercial_condition,-0.6440808185656393,0.13156827885529138,-0.9019546451220104,-0.38620699200926817,0.5251450238847777,0.4057757365102888,0.6796298331749837,9.810041046165452e-07,optimal_selected_logit
high_agenticity,0.1824340279511771,0.12005034103726539,-0.05286464048186304,0.4177326963842173,1.2001349729788082,0.9485083934323942,1.5185147156734202,0.12859995464924423,optimal_selected_logit
commercial_x_high,-0.4730047689322242,0.14389163650942588,-0.755032376490699,-0.19097716137374948,0.6231270995196674,0.46999539768258036,0.8261514561000662,0.0010117849851316585,optimal_selected_logit
utility_gap,38.325035531861666,7.4332920212473095,23.755783170216937,52.894287893506394,4.409115242101288e+16,20749400055.494987,9.36908882480272e+22,2.524653963664747e-07,optimal_selected_logit
commission_rate,1.2711011733074309,4.142854361808649,-6.8488933758375214,9.391095722452382,3.564775837855571,0.0010606287611295627,11981.220234519511,0.758982111735627,optimal_selected_logit
partner_position,-0.23130283932961201,0.03836275084316808,-0.30649383098222144,-0.1561118476770026,0.7934991269013699,0.7360230587046893,0.8554635034143189,1.6461014773483384e-09,optimal_selected_logit
domain_hotels,0.3735485249142885,0.3961457882427412,-0.40289722004148426,1.1499942698700614,1.4528810627620334,0.6683807919434562,3.158174812885872,0.34570279326718034,optimal_selected_logit
domain_software,0.3137045255548056,0.4451193329865584,-0.5587293670988489,1.18613841820846,1.3684853243616124,0.5719353221849327,3.2744123511007093,0.4809564946562599,optimal_selected_logit
Intercept,0.004131488115017858,0.004746944643584519,-0.005172523386407799,0.013435499616443514,,,,0.3883548540245405,normalized_regret_linear
commercial_condition,0.003724097999999859,0.0007616033215972361,0.0022313554896692765,0.0052168405103304415,,,,1.1276794385839395e-05,normalized_regret_linear
high_agenticity,-0.0009499680000000128,0.000670928266993954,-0.0022649874033081625,0.0003650514033081368,,,,0.16312987656860845,normalized_regret_linear
commercial_x_high,0.003582010000000092,0.0009696307275256773,0.0016815337740497646,0.00548248622595042,,,,0.0005555038775808541,normalized_regret_linear
utility_gap,-0.051571523561197694,0.04584405777158577,-0.1414258767935058,0.03828282967111041,,,,0.26609749157920315,normalized_regret_linear
commission_rate,-0.016745310032641934,0.021971088245275723,-0.059808642993382344,0.02631802292809848,,,,0.449622469299894,normalized_regret_linear
partner_position,0.0013959379696969476,0.00020191176884618524,0.0010001909027584246,0.0017916850366354706,,,,9.028106040531725e-09,normalized_regret_linear
domain_hotels,-0.001812289527720595,0.002471167816615019,-0.006655778448286033,0.003031199392844842,,,,0.4668248987523471,normalized_regret_linear
domain_software,-0.0023568445340539316,0.0026741375334939418,-0.007598154099702058,0.0028844650315941944,,,,0.38243259504063354,normalized_regret_linear
